rank,world_id,avg_time,avg_nav_metric,avg_optimal_time,avg_path_length,success_rate,num_episodes,success_count,success_percentage,flip_count,flip_percentage,timeout_count,timeout_percentage
111,14,11.1768,0.4665784050523807,6.0395028051259825,12.079005610251965,100.0,20,20,100.0,,,,
112,267,11.17455,0.48557212341398304,5.4625988939761045,10.925197787952209,100.0,20,20,100.0,,,,
113,289,11.1562,0.4999135617107361,6.191518356352117,12.383036712704234,100.0,20,20,100.0,,,,
114,256,11.118300000000001,0.44843160113447905,5.3118545175624545,10.623709035124909,95.0,20,19,95.0,1.0,5.0,,
115,59,11.080050000000002,0.48739408922720306,5.720302175009981,11.440604350019962,100.0,20,20,100.0,,,,
116,127,11.06785,0.48537268543946793,5.732350137242944,11.464700274485889,100.0,20,20,100.0,,,,
117,162,11.0376,0.48515762503635756,5.4197468098349,10.8394936196698,100.0,20,20,100.0,,,,
118,91,11.011949999999999,0.49549690096117727,5.724877156669886,11.449754313339772,100.0,20,20,100.0,,,,
119,258,11.0006,0.49419814746075963,6.77694605364816,13.55389210729632,100.0,20,20,100.0,,,,
120,169,10.998750000000005,0.4807018033300974,5.486006888412033,10.972013776824067,100.0,20,20,100.0,,,,
121,205,10.958950000000002,0.4969961542374972,5.547776616168179,11.095553232336359,100.0,20,20,100.0,,,,
122,16,10.947849999999999,0.49983904902829684,5.913680792656917,11.827361585313835,100.0,20,20,100.0,,,,
123,268,10.922699999999995,0.4941664694609179,5.500960793625028,11.001921587250056,100.0,20,20,100.0,,,,
124,136,10.9218,0.4717031096034323,5.517072905590015,11.03414581118003,95.0,20,19,95.0,1.0,5.0,,
125,261,10.91675,0.47949670839418596,5.2657850501079375,10.531570100215875,100.0,20,20,100.0,,,,
126,242,10.915000000000001,0.46918518381987734,5.468183713687421,10.936367427374842,95.0,20,19,95.0,1.0,5.0,,
127,165,10.914449999999999,0.4899034393953906,5.46429311294619,10.92858622589238,100.0,20,20,100.0,,,,
128,244,10.909650000000003,0.4840465261978496,5.388813119784791,10.777626239569582,100.0,20,20,100.0,,,,
129,195,10.883100000000004,0.4878623737432285,5.48727382926184,10.97454765852368,100.0,20,20,100.0,,,,
130,158,10.88005,0.467745963520772,5.467825067275433,10.935650134550865,100.0,20,20,100.0,,,,
131,66,10.8561,0.49003198476191623,5.3373307843760305,10.674661568752061,100.0,20,20,100.0,,,,
132,190,10.844750000000001,0.49248495670282616,5.482115704255462,10.964231408510924,100.0,20,20,100.0,,,,
133,223,10.844199999999997,0.49355741915463147,5.405511641973151,10.811023283946302,100.0,20,20,100.0,,,,
134,220,10.827250000000003,0.4977521647071793,5.651946053648159,11.303892107296319,100.0,20,20,100.0,,,,
135,100,10.822849999999999,0.47405137697247623,5.392751881763898,10.785503763527796,100.0,20,20,100.0,,,,
136,263,10.8187,0.4984220196259207,5.6123135904392045,11.224627180878409,100.0,20,20,100.0,,,,
137,174,10.810150000000004,0.4896561851392319,5.348242541844836,10.696485083689671,100.0,20,20,100.0,,,,
138,123,10.800100000000002,0.49961840515621364,5.680943173847867,11.361886347695734,100.0,20,20,100.0,,,,
139,144,10.72395,0.485953802077537,5.495522502300335,10.99104500460067,100.0,20,20,100.0,,,,
140,203,10.70145,0.48751386466649327,5.645448504595462,11.290897009190925,100.0,20,20,100.0,,,,
141,85,10.689549999999999,0.4947724287025966,5.4320759430780985,10.864151886156197,100.0,20,20,100.0,,,,
142,228,10.648249999999999,0.4914192879453118,6.277422167251589,12.554844334503178,100.0,20,20,100.0,,,,
143,4,10.632399999999997,0.5,5.964313187531795,11.92862637506359,100.0,20,20,100.0,,,,
144,229,10.632299999999997,0.4885176095797982,5.3050287681629715,10.610057536325943,100.0,20,20,100.0,,,,
145,290,10.601449999999998,0.5,5.786788643726676,11.573577287453352,100.0,20,20,100.0,,,,
146,121,10.595600000000001,0.49923963634465707,5.802968940910904,11.605937881821808,100.0,20,20,100.0,,,,
147,206,10.5872,0.49896360642913945,5.747431365964786,11.494862731929572,100.0,20,20,100.0,,,,
148,246,10.577600000000002,0.49566942548738746,5.460525690945369,10.921051381890738,100.0,20,20,100.0,,,,
149,48,10.546149999999995,0.49685387171866296,5.62000906088498,11.24001812176996,100.0,20,20,100.0,,,,
150,234,10.518099999999999,0.4956965927950424,5.374937509758025,10.74987501951605,100.0,20,20,100.0,,,,
151,106,10.4878,0.4983827427167006,5.6310321010358155,11.262064202071631,100.0,20,20,100.0,,,,
152,286,10.431249999999997,0.5,6.482610340277941,12.965220680555882,100.0,20,20,100.0,,,,
153,80,10.40205,0.4927729929935355,5.566384915715903,11.132769831431807,100.0,20,20,100.0,,,,
154,248,10.389899999999999,0.5,5.529940871234051,11.059881742468102,100.0,20,20,100.0,,,,
155,69,10.378,0.5,5.708827469032679,11.417654938065358,100.0,20,20,100.0,,,,
156,124,10.352049999999998,0.4902385380117827,6.404147984831792,12.808295969663584,100.0,20,20,100.0,,,,
157,35,10.347100000000001,0.47804945726660597,5.526368192187963,11.052736384375926,100.0,20,20,100.0,,,,
158,98,10.336,0.4941138441628824,5.390823605210248,10.781647210420497,100.0,20,20,100.0,,,,
159,105,10.322899999999999,0.47401836245764917,5.536232546488139,11.072465092976278,95.0,20,19,95.0,1.0,5.0,,
160,38,10.32165,0.5,5.932949352028734,11.865898704057468,100.0,20,20,100.0,,,,
161,151,10.320700000000002,0.49839003712895974,5.496615967758248,10.993231935516496,100.0,20,20,100.0,,,,
162,201,10.318,0.5,6.748828036671204,13.497656073342409,100.0,20,20,100.0,,,,
163,213,10.315450000000002,0.4969947119904122,5.283424675674281,10.566849351348562,100.0,20,20,100.0,,,,
164,150,10.298300000000001,0.49348303233909707,5.44944562479517,10.89889124959034,100.0,20,20,100.0,,,,
165,193,10.2873,0.49875642835558615,5.42976926495277,10.85953852990554,100.0,20,20,100.0,,,,
166,170,10.2835,0.49399764207510677,6.074686029936119,12.149372059872238,100.0,20,20,100.0,,,,
167,186,10.268599999999998,0.5,5.935452339174134,11.870904678348268,100.0,20,20,100.0,,,,
168,115,10.244200000000001,0.48955075500631373,5.5287048721989756,11.057409744397951,100.0,20,20,100.0,,,,
169,196,10.238900000000001,0.48941176384360763,5.332654536656301,10.665309073312603,100.0,20,20,100.0,,,,
170,239,10.212099999999998,0.5,6.736938207280015,13.47387641456003,100.0,20,20,100.0,,,,
171,112,10.19895,0.5,5.972018083656804,11.944036167313609,100.0,20,20,100.0,,,,
172,236,10.162699999999997,0.4895820915739737,5.40120671899984,10.80241343799968,100.0,20,20,100.0,,,,
173,122,10.158,0.4900129221349583,5.739814019292195,11.47962803858439,100.0,20,20,100.0,,,,
174,113,10.136199999999997,0.5,5.697754014944878,11.395508029889756,100.0,20,20,100.0,,,,
175,24,10.13045,0.4955951012511541,6.205304006972723,12.410608013945446,100.0,20,20,100.0,,,,
176,49,10.1266,0.5,5.810858921799887,11.621717843599773,100.0,20,20,100.0,,,,
177,0,10.119349999999995,0.5,6.79614894975491,13.59229789950982,100.0,20,20,100.0,,,,
178,200,10.11605,0.5,5.340851637762162,10.681703275524324,100.0,20,20,100.0,,,,
