rank,world_id,avg_time,avg_nav_metric,avg_optimal_time,avg_path_length,success_rate,num_episodes,success_count,success_percentage,flip_count,flip_percentage,timeout_count,timeout_percentage
64,232,11.462199999999994,0.49874262348421966,8.5411713722132,17.0823427444264,100.0,20,20,100.0,,,,
65,235,11.433499999999999,0.49723178472828167,8.01722620871293,16.03445241742586,100.0,20,20,100.0,,,,
66,209,11.428900000000004,0.4582692598481114,8.250894622174007,16.501789244348014,95.0,20,19,95.0,1.0,5.0,,
67,33,11.4128,0.4958036802852246,8.751692222388277,17.503384444776554,100.0,20,20,100.0,,,,
68,258,11.412699999999997,0.4236033481104927,9.213802968411963,18.427605936823927,85.0,20,17,85.0,3.0,15.0,,
69,217,11.401900000000001,0.4892442940607805,8.019564877217132,16.039129754434263,100.0,20,20,100.0,,,,
70,168,11.399199999999997,0.5,8.236574326535912,16.473148653071824,100.0,20,20,100.0,,,,
71,272,11.396400000000003,0.4915963448530082,7.807594374204567,15.615188748409134,100.0,20,20,100.0,,,,
72,154,11.3853,0.4758807878238536,7.81690573604979,15.63381147209958,100.0,20,20,100.0,,,,
73,227,11.351500000000005,0.5,7.8472644026323355,15.694528805264671,100.0,20,20,100.0,,,,
74,188,11.3025,0.5,8.075845755723927,16.151691511447854,100.0,20,20,100.0,,,,
75,30,11.292299999999997,0.4948898043777456,8.411827979689752,16.823655959379504,100.0,20,20,100.0,,,,
76,167,11.2712,0.4997628410860401,8.522874644993271,17.045749289986542,100.0,20,20,100.0,,,,
77,143,11.2518,0.5,8.105225027748967,16.210450055497933,100.0,20,20,100.0,,,,
78,194,11.222800000000003,0.5,7.914070356942114,15.828140713884228,100.0,20,20,100.0,,,,
79,186,11.206999999999999,0.4957804508180862,8.357481710017902,16.714963420035804,100.0,20,20,100.0,,,,
80,190,11.2026,0.4745152616602663,7.954934482092628,15.909868964185256,100.0,20,20,100.0,,,,
81,80,11.200199999999999,0.5,8.048065056096444,16.09613011219289,100.0,20,20,100.0,,,,
82,244,11.1854,0.5,7.888583797445757,15.777167594891514,100.0,20,20,100.0,,,,
83,171,11.121999999999996,0.5,8.101670934055997,16.203341868111995,100.0,20,20,100.0,,,,
84,184,11.106099999999998,0.4981604759368796,8.592536572582341,17.185073145164683,100.0,20,20,100.0,,,,
85,216,11.061899999999994,0.5,8.081711195341684,16.16342239068337,100.0,20,20,100.0,,,,
86,192,11.057800000000002,0.4903790327757457,8.053999464657995,16.10799892931599,100.0,20,20,100.0,,,,
87,295,11.033600000000003,0.496128859208226,8.052208244254947,16.104416488509894,100.0,20,20,100.0,,,,
88,208,11.014600000000002,0.475,8.380835960216647,16.761671920433294,95.0,20,19,95.0,1.0,5.0,,
89,204,11.011199999999999,0.5,9.331648975564397,18.663297951128794,100.0,20,20,100.0,,,,
90,179,10.978100000000001,0.4952346992246941,7.903268823181018,15.806537646362036,100.0,20,20,100.0,,,,
91,267,10.9756,0.49619105073840997,7.851284298580888,15.702568597161775,100.0,20,20,100.0,,,,
92,78,10.964100000000002,0.5,9.021696989538864,18.043393979077727,100.0,20,20,100.0,,,,
93,126,10.946999999999997,0.5,7.9793568967547275,15.958713793509455,100.0,20,20,100.0,,,,
94,290,10.8933,0.49063094057525636,8.275645178163701,16.551290356327403,100.0,20,20,100.0,,,,
95,86,10.8826,0.48253552102089226,7.909584284369311,15.819168568738622,100.0,20,20,100.0,,,,
96,266,10.8749,0.49528700824382604,9.026095707843094,18.05219141568619,100.0,20,20,100.0,,,,
97,210,10.840099999999996,0.5,7.772452250013346,15.544904500026693,100.0,20,20,100.0,,,,
98,66,10.827799999999998,0.5,7.831621666981116,15.663243333962232,100.0,20,20,100.0,,,,
99,169,10.805600000000009,0.35984384469086184,7.948347834690935,15.89669566938187,80.0,20,16,80.0,4.0,20.0,,
100,289,10.800599999999998,0.5,8.613547727195883,17.227095454391765,100.0,20,20,100.0,,,,
101,162,10.787600000000001,0.5,7.914037692439988,15.828075384879975,100.0,20,20,100.0,,,,
102,118,10.781500000000001,0.5,8.182352930081464,16.36470586016293,100.0,20,20,100.0,,,,
103,199,10.774400000000004,0.48549809951461975,8.464699626023187,16.929399252046373,100.0,20,20,100.0,,,,
104,103,10.7664,0.5,8.0333551542146,16.0667103084292,100.0,20,20,100.0,,,,
105,85,10.758500000000002,0.475,7.926366825683184,15.852733651366368,95.0,20,19,95.0,1.0,5.0,,
106,293,10.7548,0.5,8.116621044690785,16.23324208938157,100.0,20,20,100.0,,,,
107,16,10.746699999999997,0.4970369336773654,8.407971675262,16.815943350524,100.0,20,20,100.0,,,,
108,136,10.736199999999997,0.49423353794175495,7.979413851868917,15.958827703737834,100.0,20,20,100.0,,,,
109,248,10.637600000000003,0.5,7.992281817512952,15.984563635025903,100.0,20,20,100.0,,,,
110,261,10.6198,0.5,7.765555727768904,15.531111455537808,100.0,20,20,100.0,,,,
111,263,10.613899999999997,0.5,8.08513236827637,16.17026473655274,100.0,20,20,100.0,,,,
112,253,10.565100000000001,0.5,7.78074069000383,15.56148138000766,100.0,20,20,100.0,,,,
113,183,10.559300000000004,0.49656379442606635,7.943534657942993,15.887069315885986,100.0,20,20,100.0,,,,
114,140,10.549899999999996,0.475,7.884549025121835,15.76909805024367,95.0,20,19,95.0,1.0,5.0,,
