rank,world_id,avg_time,avg_nav_metric,avg_optimal_time,avg_path_length,success_rate,num_episodes,success_count,success_percentage,flip_count,flip_percentage,timeout_count,timeout_percentage
127,210,10.4214,0.4903491634332637,5.27451326740555,10.5490265348111,100.0,20,20,100.0,,,,
128,293,10.410199999999998,0.5,5.679764129926982,11.359528259853963,100.0,20,20,100.0,,,,
129,206,10.399250000000002,0.49104083551762423,5.747431365964786,11.494862731929572,100.0,20,20,100.0,,,,
130,193,10.386700000000001,0.49104683052504006,5.42976926495277,10.85953852990554,100.0,20,20,100.0,,,,
131,223,10.380650000000001,0.49820723017095253,5.405511641973151,10.811023283946302,100.0,20,20,100.0,,,,
132,140,10.34815,0.4966249104677621,5.434224115717643,10.868448231435286,100.0,20,20,100.0,,,,
133,59,10.343850000000002,0.49995986637145473,5.720302175009981,11.440604350019962,100.0,20,20,100.0,,,,
134,203,10.3385,0.48601336032890263,5.645448504595462,11.290897009190925,100.0,20,20,100.0,,,,
135,173,10.325349999999998,0.48877898390433316,5.219482156090008,10.438964312180016,100.0,20,20,100.0,,,,
136,246,10.315550000000002,0.48990725004353086,5.460525690945369,10.921051381890738,100.0,20,20,100.0,,,,
137,215,10.309649999999998,0.5,5.5549290263279865,11.109858052655973,100.0,20,20,100.0,,,,
138,234,10.304499999999997,0.4985041871163111,5.374937509758025,10.74987501951605,100.0,20,20,100.0,,,,
139,121,10.287,0.5,5.802968940910904,11.605937881821808,100.0,20,20,100.0,,,,
140,263,10.286599999999998,0.4970681865098693,5.6123135904392045,11.224627180878409,100.0,20,20,100.0,,,,
141,112,10.26215,0.5,5.972018083656804,11.944036167313609,100.0,20,20,100.0,,,,
142,148,10.254850000000001,0.4820531776945062,5.504351468332604,11.008702936665207,100.0,20,20,100.0,,,,
143,165,10.250299999999998,0.4959607388617444,5.46429311294619,10.92858622589238,100.0,20,20,100.0,,,,
144,242,10.247349999999997,0.4977540756846598,5.468183713687421,10.936367427374842,100.0,20,20,100.0,,,,
145,69,10.226949999999999,0.5,5.708827469032679,11.417654938065358,100.0,20,20,100.0,,,,
146,195,10.224200000000003,0.5,5.48727382926184,10.97454765852368,100.0,20,20,100.0,,,,
147,0,10.175049999999999,0.5,6.79614894975491,13.59229789950982,100.0,20,20,100.0,,,,
148,183,10.1726,0.4999993341155367,5.461854517562456,10.923709035124912,100.0,20,20,100.0,,,,
149,115,10.150950000000003,0.4605176442419035,5.5287048721989756,11.057409744397951,95.0,20,19,95.0,1.0,5.0,,
150,55,10.14375,0.4826230279577798,6.150745287664124,12.301490575328248,100.0,20,20,100.0,,,,
151,119,10.1371,0.5,6.0671796727992735,12.134359345598547,100.0,20,20,100.0,,,,
152,4,10.135349999999999,0.5,5.964313187531795,11.92862637506359,100.0,20,20,100.0,,,,
153,153,10.110100000000003,0.5,5.81954252468705,11.6390850493741,100.0,20,20,100.0,,,,
